Time in s,Angle,No-Person,Person A,Person G,Person F,Person H,Person E,Person B,Person C,Person D,Person I,Person J,Action
0,0,11148,11062,11040,10840,10958,10814,10980,10860,10618,10718,10880,0
1,0,11076,11040,11096,10870,10984,10846,10926,10870,10650,10680,10918,0
2,0,11102,11014,11112,10934,11006,10932,10934,10880,10690,10698,10856,0
3,0,11102,11096,11060,10974,10970,10912,10958,10938,10654,10754,10876,0
4,0,11088,11056,11096,10892,11030,10862,10984,10852,10608,10748,10888,0
5,0.45,12298,12390,12688,13304,13300,13432,14130,13944,13518,12586,13432,1
6,0.9,12656,12632,13130,13724,13422,14028,13940,13628,13098,12856,15490,1
7,1.35,12066,13084,12910,14212,13380,14360,14608,13940,13822,13354,13730,1
8,1.95,12478,12800,13318,13644,13182,13802,14704,13998,13890,13032,13996,1
9,2.55,13074,12580,13566,13618,13806,14268,14382,14278,13526,13058,12956,1
10,3,12612,13192,13074,16836,13468,15208,14504,13880,13094,14408,13006,1
11,3.45,12688,12974,13642,13842,13452,14012,15162,13524,13498,13098,13294,1
12,4.05,12816,13200,13462,14120,13472,13972,14930,15342,13910,13950,13910,1
13,4.8,12638,13028,13438,14766,14186,14700,15480,15240,14268,14278,14618,1
14,5.25,13730,13232,14002,14814,13854,15450,16282,15480,14182,13884,13334,1
15,5.85,12750,13412,14034,14694,15008,15538,14890,14486,14254,13602,14214,1
16,6.3,12816,13744,14310,14218,14516,14752,15140,14654,13862,13752,14494,1
17,6.9,13130,13500,13828,14340,13700,15454,16456,16584,14604,14568,13966,1
18,7.5,13002,13418,13448,14234,14232,14586,15896,16066,13740,15280,14490,1
19,8.1,12720,14372,14222,15512,14550,15470,15906,15286,14494,15556,17456,1
20,8.7,12918,14034,14552,15552,14324,15876,16620,15726,15690,14162,14782,1
21,9.15,12658,13952,14408,16342,14634,16282,15556,15968,16226,14116,14772,1
22,9.75,12672,13524,14300,15820,15064,15758,16358,15562,15460,14752,14922,1
23,10.35,13032,14270,15148,15352,14742,15726,15392,16102,14694,14840,14510,1
24,11.1,13380,14326,14432,15140,15588,16086,16214,16018,16014,14378,15880,1
25,11.7,13128,13966,14486,16118,15516,17194,16702,15988,16548,15556,14510,1
26,12.3,12918,14922,14604,15882,14526,16542,16670,18776,16044,15274,15202,1
27,12.9,12894,14568,15214,16502,14336,17004,16938,17688,15702,15946,14766,1
28,13.5,13170,13934,15732,17354,15906,16870,18548,16440,15964,14880,14592,1
29,14.1,12914,14288,15660,17180,16060,16516,16918,16128,17532,15104,16070,1
30,14.7,13372,14104,14674,16552,15312,16368,17944,16722,17026,14684,16686,1
31,15.3,12882,13956,15614,16902,15922,17416,17640,17270,16722,16076,15220,1
32,16.05,13262,14316,16034,16866,15788,17616,18580,19036,18704,16462,15438,1
33,16.65,13310,14378,16162,17102,15838,17020,18780,18220,17088,16282,16378,1
34,17.4,13454,14260,15968,18020,16630,18138,20336,17224,18222,15710,17014,1
35,18,13536,15736,15866,16938,16440,17914,20750,17822,18324,16644,16382,1
36,18.75,13508,14104,16794,17542,16214,18040,18842,18668,16944,15038,15502,1
37,19.35,14316,14904,17722,18334,17082,19062,22738,20788,18046,16236,17496,1
38,20.1,13436,14224,16938,19320,16790,18636,20304,19418,17518,16418,15614,1
39,20.85,13700,14968,16364,19504,18148,19786,20280,21644,18088,18334,15240,1
40,21.45,13842,14910,17466,19514,18078,21748,21732,22008,19012,17790,17224,1
41,22.2,13744,14588,17868,18584,18574,20300,22256,19586,19244,17124,17548,1
42,22.95,14018,15414,18328,19546,18082,21214,24692,21194,20186,18102,18068,1
43,23.7,16322,15448,18150,21456,17622,21864,25162,23806,19114,17442,17532,1
44,24.45,14114,15476,17324,22316,18728,22558,23866,22608,17698,18016,17482,0
45,24.45,11052,11610,11270,11498,10872,11154,11180,11440,10886,10716,10772,0
46,24.45,10954,11544,11214,11534,10826,11096,11206,11508,10840,10754,10798,0
47,24.45,10912,11586,11194,11456,10804,11030,11086,11394,10784,10666,10738,0
48,24.45,10968,11528,11216,11390,10816,11050,11112,11334,10784,10708,10738,0
49,24.45,10892,11532,11134,11396,10830,10974,11030,11354,10824,10682,10734,0
50,23.7,11914,13806,14034,16862,17416,17180,20860,18718,19068,16998,17024,-1
51,22.95,11862,13110,14812,17040,14972,18602,18944,17524,17272,16862,16296,-1
52,22.2,12302,11898,13432,14566,15438,17026,18138,17614,17148,15998,16912,-1
53,21.45,12538,11852,13878,15312,15248,16508,18846,17804,18914,16696,14906,-1
54,20.85,13616,13606,14690,15568,15782,17370,17174,16712,17178,15266,15188,-1
55,20.1,13272,12862,14624,15674,15820,16506,16518,16344,17122,19972,15168,-1
56,19.35,13202,12474,15058,15094,16620,16498,16132,16154,15628,15864,14886,-1
57,18.75,12006,13534,13904,15928,15584,15608,17134,15166,15620,16774,15014,-1
58,18,11806,12828,14536,15054,14228,16332,14316,17034,13744,15640,15064,-1
59,17.4,11944,12190,14434,15686,13750,15838,15584,19100,15028,13770,16128,-1
60,16.8,12350,13268,12720,15188,12784,16516,15558,15414,15130,13442,15040,-1
61,16.05,12620,12702,12658,12976,14304,15584,15492,14716,14818,13962,14952,-1
62,15.45,13064,12098,12938,14750,16024,15376,14360,14844,15030,18756,14480,-1
63,14.7,13016,13248,13514,14916,13930,15302,14166,14068,14228,15548,13462,-1
64,14.1,13442,12184,13150,13144,15546,13750,13832,12858,14802,15372,13652,-1
65,13.5,13662,13380,13464,14342,14562,13278,16384,12702,14560,16404,14048,-1
66,12.9,13160,12828,13678,14684,14224,13236,15438,15384,15982,15044,13082,-1
67,12.3,13136,13088,14140,14008,14832,13744,19172,15258,15254,14324,13910,-1
68,11.7,12856,13464,13622,13606,13934,13068,16358,15106,14464,12406,13612,-1
